key,place_name,admin_name1,latitude,longitude,accuracy
362256,Vadodara Dodia,Gujarat,20.9667,70.3,0
362257,Adri,Gujarat,20.9667,70.3,4
362259,Dari,Gujarat,20.9667,70.3,0
362263,Bagdu,Gujarat,21.2417,70.25,0
362271,Lodhava,Gujarat,21.2417,70.25,0
362310,Vadal,Gujarat,21.45,71.85,4
362515,Navabunder,Gujarat,20.7,70.9833,0
362520,Diu,Daman and Diu,20.7,70.9833,4
362530,Saiyad Rajpura,Gujarat,20.7,70.9833,0
362540,Ghoghla,Gujarat,20.7,70.9833,0
362550,Sanakhada,Gujarat,20.7,70.9833,0
362560,Una Sorath,Gujarat,20.7,70.9833,0
362620,Bantwa,Gujarat,21.4833,70.0833,4
362621,Limbuda,Gujarat,21.4833,70.0833,0
362623,Mahiari,Gujarat,21.4833,70.0833,0
362624,Pajod,Gujarat,21.4833,70.0833,0
362625,Nanadia,Gujarat,21.4833,70.0833,0
362626,Bamansa,Gujarat,21.4833,70.0833,0
362630,Manavadar,Gujarat,21.5,70.1333,4
362633,Ghed Koylana,Gujarat,21.9,70.6667,0
362634,Sanosra,Gujarat,22.3,71.2,4
362710,Ghantvad,Gujarat,21.3778,70.5833,0
362721,Harmadia,Gujarat,21.3778,70.5833,0
362727,Vadnagar Kodinar,Gujarat,21.3778,70.5833,0
362730,Timbi,Gujarat,21.3778,70.5833,0
362733,Chhara,Gujarat,21.3778,70.5833,0
363001,M P Shah College,Gujarat,22.7,71.6833,0
363030,Wadhwan City,Gujarat,22.7,71.6833,4
363035,Wadwan City Ie,Gujarat,22.7,71.6833,0
363320,Rajsitapur,Gujarat,22.5542,71.6167,0
363330,Halvad Bazar,Gujarat,22.5542,71.6167,0
363331,Charadava,Gujarat,22.5542,71.6167,0
363333,Tikar Rana,Gujarat,22.5542,71.6167,0
363416,Nagnesh,Gujarat,22.4056,72.4333,0
363421,Limbdi,Gujarat,22.5667,71.8,4
363423,Pansina,Gujarat,22.55,71.9667,4
363424,Jambu,Gujarat,22.5583,71.8833,0
363425,Hadala Bhal,Gujarat,22.5583,71.8833,0
363435,Rampura,Gujarat,22.1,73.5333,4
363530,Thangadh,Gujarat,22.5667,71.1833,4
363535,Lunsar,Gujarat,22.6667,71.1,4
363621,Wankaner,Gujarat,22.6167,70.9333,4
363622,Wankaner Amarpura,Gujarat,22.6167,70.9333,0
363626,Daldi,Gujarat,22.6167,70.9333,0
363641,Sakti Plot,Gujarat,22.6417,70.8333,0
363650,Tankara,Gujarat,22.6667,70.7333,4
363670,Maliya Miyana,Gujarat,22.6417,70.8333,0
364001,Wadava,Gujarat,21.6833,72.1667,0
364002,B P T E,Gujarat,21.6833,72.1667,0
364055,Nari,Gujarat,21.7667,72.0667,4
364071,Hathab,Gujarat,21.6,72.2667,4
364120,Tansa,Gujarat,21.5167,72.1167,4
364130,Datha,Gujarat,21.6833,71.95,4
364131,Kalsar Bhav,Gujarat,21.6833,71.95,0
364140,Talaja,Gujarat,21.35,72.05,4
364145,Thaliya,Gujarat,21.35,72.05,0
364146,Bagdana,Gujarat,21.35,72.05,0
364220,Damnagar,Gujarat,21.7,71.5167,4
364230,Sanosra,Gujarat,22.3,71.2,0
364240,Gandhi Chowk,Gujarat,21.4333,71.7167,0
364241,Ghanghli,Gujarat,21.4333,71.7167,0
364245,Madhada,Gujarat,21.4333,71.7167,0
364260,Tana,Gujarat,21.4333,71.7167,0
364265,Gheti,Gujarat,21.4333,71.7167,0
364270,Palitana,Gujarat,21.5167,71.8333,4
364275,Parvadi,Gujarat,21.5167,71.8333,0
364290,Mahuva,Gujarat,21.0833,71.8,4
364292,Nana Jadra,Gujarat,21.0833,71.8,0
364293,Talgajarda,Gujarat,21.0833,71.8,0
364296,Ghundarana,Gujarat,21.0833,71.8,0
364297,Vaghnagar,Gujarat,21.0833,71.8,0
364312,Pachhegam,Gujarat,21.9167,71.85,4
364315,Chamardi (Bhav),Gujarat,21.9167,71.85,0
364330,Umrala,Gujarat,22.0333,70.3,4
364335,Chogath,Gujarat,22.0333,70.3,0
364410,Chamardi,Gujarat,21.8333,71.9167,4
364421,Babra,Gujarat,21.85,71.3,4
364430,Lathi,Gujarat,21.7167,71.3833,4
364431,Akala,Gujarat,21.7167,71.3833,0
364435,Chavand,Gujarat,21.7167,71.3833,0
364445,Hamapur,Gujarat,21.8,71.5333,0
364456,Vaghania,Gujarat,21.8,71.5333,0
364460,Lunidhar,Gujarat,21.8,71.5333,0
364480,Vadia,Gujarat,21.8,71.5333,0
364481,Tori,Gujarat,21.8,71.5333,0
364505,Gariyadhar,Gujarat,21.5333,71.5833,4
364510,Jesar,Gujarat,21.3333,71.32,0
364522,Bagasra,Gujarat,21.4833,70.95,4
364535,Liliya,Gujarat,21.55,71.35,4
364536,Saldi,Gujarat,21.55,71.35,0
364540,Jafrabad,Gujarat,21.3333,71.32,0
364545,Nageshri,Gujarat,21.3333,71.32,0
364550,Dedan,Gujarat,21.05,71.2833,4
364560,Rajula,Gujarat,21.05,71.4333,4
364601,Jesingpura,Gujarat,21.4611,71.0944,0
364610,Babapur,Gujarat,21.4611,71.0944,0
364616,Jalia Amreli,Gujarat,21.4611,71.0944,0
364620,Chital,Gujarat,21.7333,71.2,4
364630,Chalala,Gujarat,21.4167,71.1667,4
364641,Dalkhania,Gujarat,21.2333,70.9167,4
364710,R S,Gujarat,21.7389,72.0333,0
364712,Lathidad,Gujarat,21.7389,72.0333,0
364720,Paliyad,Gujarat,22.25,71.5667,4
364741,Jalalpur,Gujarat,20.9667,72.9,4
364750,Gadhda S N,Gujarat,21.7389,72.0333,0
364765,Ugamedi,Gujarat,22,71.6333,4
370001,Darbargadh Chowk,Gujarat,23.4577,70.0026,0
370007,Loria,Gujarat,23.4577,70.0026,0
370015,B S F Bhuj,Gujarat,23.4577,70.0026,0
370020,Madhavpur Kachchh,Gujarat,23.4577,70.0026,0
370110,Ganga Bazar,Gujarat,23.5,70.6917,0
370132,Nagalpur K,Gujarat,23.4,70.5167,0
370135,Adhoi,Gujarat,23.4,70.5167,4
370141,Chobari,Gujarat,23.5167,70.35,4
370145,Lakadia,Gujarat,23.35,70.5833,4
370146,Gagodar,Gujarat,23.4333,70.4667,0
370150,Samakhiali,Gujarat,23.3333,70.5833,4
370155,Adesar,Gujarat,23.55,70.9833,4
370156,Fatehgadh,Gujarat,23.6833,70.85,4
370157,Palansva,Gujarat,23.4667,70.9333,4
370165,R Bazar,Gujarat,23.7,70.7333,0
370169,Gedi,Gujarat,23.7,70.7333,4
370170,Gadhda Khadir,Gujarat,23.5,70.6917,0
370203,Udayanagar,Gujarat,23.4577,70.0026,0
370205,Adipur,Gujarat,23.4577,70.0026,0
370210,Kandla Port Harbour,Gujarat,23.4577,70.0026,0
370230,Kandla F T Z,Gujarat,23.4577,70.0026,0
370406,Zarpara,Gujarat,23.4577,70.0026,0
370427,Baladia,Gujarat,23.4577,70.0026,0
370429,Naranpur,Gujarat,23.4577,70.0026,0
370445,Gadhsisa,Gujarat,23.4577,70.0026,0
370465,Mandvi H O,Gujarat,23.4577,70.0026,0
370472,Kandagara,Gujarat,23.4577,70.0026,0
370475,Laija,Gujarat,23.4577,70.0026,0
370485,Dahisara (Kutch),Gujarat,23.4577,70.0026,0
370615,Nakhtrana,Gujarat,23.3333,69.25,4
370627,Gaduli,Gujarat,23.39,68.9,0
370630,Lakhpat,Gujarat,23.8167,68.7833,4
370640,Jakhau,Gujarat,23.2167,68.7167,4
370655,Naliya,Gujarat,23.2667,68.8333,4
370660,Tera,Gujarat,23.3167,68.9167,4
380001,Raipur,Gujarat,30.25,77.5833,4
380002,N C Market,Gujarat,26.6667,75.125,0
380003,Ahmedabad Civil,Gujarat,26.6667,75.125,0
380004,Tavdipura,Gujarat,26.6667,75.125,0
380005,Sabarmati,Gujarat,23.0833,72.6667,4
380006,Ellisbridge,Gujarat,26.6667,75.125,0
380007,Ahmedabad Paldi,Gujarat,26.6667,75.125,0
380008,Daxini Society,Gujarat,26.6667,75.125,0
380012,Ahmedabad Air Port,Gujarat,25.2042,73.6792,0
380013,Naranpura Vistar,Gujarat,25.2042,73.6792,0
380015,Indian Institute Of Management,Gujarat,25.2042,73.6792,0
380016,Hospital,Gujarat,25.2042,73.6792,0
380018,Ahmedabad Saraspur,Gujarat,25.2042,73.6792,0
380019,Ahmedabad Railway Colony,Gujarat,25.2042,73.6792,0
380021,Rakhial,Gujarat,23.0333,72.6167,0
380022,Calico Mills,Gujarat,23.0333,72.6167,0
380023,Ahmedabad Rakhialudyog Vi,Gujarat,23.0333,72.6167,0
380024,Bapu Nagar I E,Gujarat,23.0333,72.6167,0
380025,Ahmedabad,Gujarat,23.0333,72.6167,4
380026,Ahmedabad Amraiwadi,Gujarat,23.0333,72.6167,0
380027,Gandhi Ashram Ahmedabad,Gujarat,23.0333,72.6167,0
380028,Ahmedabad Space,Gujarat,23.0333,72.6167,0
380050,Ghodasar,Gujarat,24.45,71.85,4
380051,Ahmedabad Jivrajpark,Gujarat,24.45,71.85,0
380054,Ahmedabad Thaltej Road,Gujarat,24.45,71.85,0
380055,Ahmedabad Juhapura,Gujarat,24.45,71.85,0
380061,Ghatlodia Ahmedabad,Gujarat,25.2042,73.6792,0
382009,Gandhi Nagar Sector 9,Gujarat,23.1733,72.4283,0
382010,Gandhi Nagar H O,Gujarat,23.1733,72.4283,0
382016,Ghandhinagar Sector 16,Gujarat,23.1733,72.4283,0
382017,Gandhi Nagar Sector 17,Gujarat,23.1733,72.4283,0
382019,Gandhi Nagar Sector 19,Gujarat,23.1733,72.4283,0
382020,Gandhi Nagar Sector 20,Gujarat,23.1733,72.4283,0
382021,Gandhi Nagar Sector 21,Gujarat,23.1733,72.4283,0
382022,Gandhi Nagar Sector 22,Gujarat,23.1733,72.4283,0
382023,Gandhi Nagar Sector 24,Gujarat,23.1733,72.4283,0
382028,Gandhi Nagar Sector 28,Gujarat,23.1733,72.4283,0
382029,Gandhi Nagar Sector 29,Gujarat,23.1733,72.4283,0
382030,Gandhi Nagar Sector 30,Gujarat,23.1733,72.4283,0
382041,Gandhi Nagar T P S,Gujarat,23.1733,72.4283,0
382042,Gandhi Nagar C R P F Camp,Gujarat,23.1733,72.4283,0
382043,K P T,Gujarat,23.1733,72.4283,0
382110,Sanand,Gujarat,22.9833,72.3833,4
382130,Mandal,Gujarat,23.3,71.9167,4
382140,Rampura Bhankoda,Gujarat,23.1444,72.1889,0
382165,Kalyanpura,Gujarat,23.15,72.2667,0
382166,Agol,Gujarat,23.15,72.2667,4
382220,Bavla,Gujarat,22.8,72.45,0
382230,Lothal Bhurkhi R S,Gujarat,22.8,72.45,0
382255,Jalila,Gujarat,22.8,72.45,0
382260,Chaloda,Gujarat,22.8,72.45,4
382270,Badarkha,Gujarat,22.8,72.45,0
382305,Dahegam,Gujarat,23.1667,72.8167,4
382308,Bahiyal,Gujarat,23.1667,72.8167,0
382310,Nandol,Gujarat,23.2,72.8167,4
382315,Rakhial R S,Gujarat,23.2,72.8167,0
382316,Ujedia,Gujarat,23.2,72.8167,0
382320,Sadra,Gujarat,23.0833,72.6667,0
382321,Chhala,Gujarat,23.0833,72.6667,0
382325,Naroda,Gujarat,23.0833,72.6667,4
382330,Naroda I E,Gujarat,23.1542,72.7583,0
382345,Saijpur Bogha,Gujarat,23.1542,72.7583,0
382350,Thakkar Bapanagar,Gujarat,23.1667,72.7333,0
382355,Dabhoda,Gujarat,23.1667,72.7333,4
